entity,code,year,value
Afghanistan,AFG,2015,1
Afghanistan,AFG,2017,1
Afghanistan,AFG,2018,2
Afghanistan,AFG,2019,8
Afghanistan,AFG,2020,11
Afghanistan,AFG,2021,16
Afghanistan,AFG,2022,47
Afghanistan,AFG,2023,44
Albania,ALB,2015,16
Albania,ALB,2016,15
Albania,ALB,2017,26
Albania,ALB,2018,21
Albania,ALB,2019,19
Albania,ALB,2020,18
Albania,ALB,2021,35
Albania,ALB,2022,37
Albania,ALB,2023,64
Algeria,DZA,2015,543
Algeria,DZA,2016,518
Algeria,DZA,2017,506
Algeria,DZA,2018,693
Algeria,DZA,2019,633
Algeria,DZA,2020,676
Algeria,DZA,2021,801
Algeria,DZA,2022,973
Algeria,DZA,2023,929
Andorra,AND,2016,2
Andorra,AND,2023,1
Angola,AGO,2016,2
Angola,AGO,2017,2
Angola,AGO,2018,1
Angola,AGO,2019,6
Angola,AGO,2020,3
Angola,AGO,2021,2
Angola,AGO,2022,20
Angola,AGO,2023,28
Antigua and Barbuda,ATG,2023,2
Argentina,ARG,2015,222
Argentina,ARG,2016,218
Argentina,ARG,2017,223
Argentina,ARG,2018,277
Argentina,ARG,2019,252
Argentina,ARG,2020,336
Argentina,ARG,2021,315
Argentina,ARG,2022,231
Argentina,ARG,2023,287
Armenia,ARM,2015,17
Armenia,ARM,2016,10
Armenia,ARM,2017,26
Armenia,ARM,2018,22
Armenia,ARM,2019,18
Armenia,ARM,2020,33
Armenia,ARM,2021,41
Armenia,ARM,2022,52
Armenia,ARM,2023,95
Australia,AUS,2015,2758
Australia,AUS,2016,3028
Australia,AUS,2017,3198
Australia,AUS,2018,3974
Australia,AUS,2019,4942
Australia,AUS,2020,5964
Australia,AUS,2021,6694
Australia,AUS,2022,6284
Australia,AUS,2023,7700
Austria,AUT,2015,844
Austria,AUT,2016,951
Austria,AUT,2017,996
Austria,AUT,2018,1154
Austria,AUT,2019,1389
Austria,AUT,2020,1574
Austria,AUT,2021,1797
Austria,AUT,2022,1882
Austria,AUT,2023,1965
Azerbaijan,AZE,2015,24
Azerbaijan,AZE,2016,34
Azerbaijan,AZE,2017,27
Azerbaijan,AZE,2018,54
Azerbaijan,AZE,2019,46
Azerbaijan,AZE,2020,51
Azerbaijan,AZE,2021,81
Azerbaijan,AZE,2022,88
Azerbaijan,AZE,2023,131
Bahamas,BHS,2018,1
Bahamas,BHS,2019,1
Bahamas,BHS,2021,3
Bahamas,BHS,2022,3
Bahamas,BHS,2023,2
Bahrain,BHR,2015,19
Bahrain,BHR,2016,19
Bahrain,BHR,2017,15
Bahrain,BHR,2018,34
Bahrain,BHR,2019,36
Bahrain,BHR,2020,61
Bahrain,BHR,2021,111
Bahrain,BHR,2022,165
Bahrain,BHR,2023,195
Bangladesh,BGD,2015,276
Bangladesh,BGD,2016,309
Bangladesh,BGD,2017,470
Bangladesh,BGD,2018,659
Bangladesh,BGD,2019,1114
Bangladesh,BGD,2020,1349
Bangladesh,BGD,2021,1998
Bangladesh,BGD,2022,1885
Bangladesh,BGD,2023,2552
Barbados,BRB,2015,2
Barbados,BRB,2017,1
Barbados,BRB,2018,2
Barbados,BRB,2019,4
Barbados,BRB,2020,2
Barbados,BRB,2021,3
Barbados,BRB,2022,5
Barbados,BRB,2023,8
Belarus,BLR,2015,33
Belarus,BLR,2016,77
Belarus,BLR,2017,55
Belarus,BLR,2018,62
Belarus,BLR,2019,101
Belarus,BLR,2020,92
Belarus,BLR,2021,95
Belarus,BLR,2022,103
Belarus,BLR,2023,111
Belgium,BEL,2015,1062
Belgium,BEL,2016,1052
Belgium,BEL,2017,1046
Belgium,BEL,2018,1292
Belgium,BEL,2019,1357
Belgium,BEL,2020,1674
Belgium,BEL,2021,1823
Belgium,BEL,2022,1897
Belgium,BEL,2023,1972
Belize,BLZ,2019,1
Belize,BLZ,2020,3
Belize,BLZ,2023,3
Benin,BEN,2015,7
Benin,BEN,2016,10
Benin,BEN,2017,7
Benin,BEN,2018,11
Benin,BEN,2019,10
Benin,BEN,2020,18
Benin,BEN,2021,10
Benin,BEN,2022,29
Benin,BEN,2023,32
Bhutan,BTN,2015,1
Bhutan,BTN,2016,1
Bhutan,BTN,2017,3
Bhutan,BTN,2019,3
Bhutan,BTN,2020,5
Bhutan,BTN,2021,11
Bhutan,BTN,2022,13
Bhutan,BTN,2023,9
Bolivia,BOL,2015,1
Bolivia,BOL,2016,2
Bolivia,BOL,2017,3
Bolivia,BOL,2018,5
Bolivia,BOL,2019,3
Bolivia,BOL,2020,5
Bolivia,BOL,2021,8
Bolivia,BOL,2022,9
Bolivia,BOL,2023,16
Bosnia and Herzegovina,BIH,2015,41
Bosnia and Herzegovina,BIH,2016,62
Bosnia and Herzegovina,BIH,2017,83
Bosnia and Herzegovina,BIH,2018,105
Bosnia and Herzegovina,BIH,2019,118
Bosnia and Herzegovina,BIH,2020,110
Bosnia and Herzegovina,BIH,2021,124
Bosnia and Herzegovina,BIH,2022,118
Bosnia and Herzegovina,BIH,2023,141
Botswana,BWA,2015,6
Botswana,BWA,2016,13
Botswana,BWA,2017,12
Botswana,BWA,2018,8
Botswana,BWA,2019,13
Botswana,BWA,2020,16
Botswana,BWA,2021,46
Botswana,BWA,2022,32
Botswana,BWA,2023,53
Brazil,BRA,2015,2077
Brazil,BRA,2016,2022
Brazil,BRA,2017,2189
Brazil,BRA,2018,2915
Brazil,BRA,2019,3348
Brazil,BRA,2020,3792
Brazil,BRA,2021,3915
Brazil,BRA,2022,3277
Brazil,BRA,2023,3588
Brunei,BRN,2015,14
Brunei,BRN,2016,22
Brunei,BRN,2017,17
Brunei,BRN,2018,15
Brunei,BRN,2019,27
Brunei,BRN,2020,34
Brunei,BRN,2021,51
Brunei,BRN,2022,93
Brunei,BRN,2023,126
Bulgaria,BGR,2015,133
Bulgaria,BGR,2016,141
Bulgaria,BGR,2017,165
Bulgaria,BGR,2018,224
Bulgaria,BGR,2019,295
Bulgaria,BGR,2020,283
Bulgaria,BGR,2021,350
Bulgaria,BGR,2022,351
Bulgaria,BGR,2023,446
Burkina Faso,BFA,2015,2
Burkina Faso,BFA,2016,2
Burkina Faso,BFA,2017,1
Burkina Faso,BFA,2018,5
Burkina Faso,BFA,2019,5
Burkina Faso,BFA,2020,10
Burkina Faso,BFA,2021,14
Burkina Faso,BFA,2022,18
Burkina Faso,BFA,2023,20
Burundi,BDI,2015,1
Burundi,BDI,2018,2
Burundi,BDI,2019,11
Burundi,BDI,2020,2
Burundi,BDI,2021,6
Burundi,BDI,2022,2
Burundi,BDI,2023,10
Cambodia,KHM,2015,2
Cambodia,KHM,2016,5
Cambodia,KHM,2017,4
Cambodia,KHM,2018,11
Cambodia,KHM,2019,10
Cambodia,KHM,2020,11
Cambodia,KHM,2021,17
Cambodia,KHM,2022,27
Cambodia,KHM,2023,34
Cameroon,CMR,2015,17
Cameroon,CMR,2016,10
Cameroon,CMR,2017,21
Cameroon,CMR,2018,26
Cameroon,CMR,2019,39
Cameroon,CMR,2020,56
